,Merchant_String,Labels,Predictions,Confidence,CorrectPrediction
10837,63 n york rd z6011z,atm,atm,0.9999999999977405,1
10838,uber trip xals5 z4121z,uber,uber,1.0,1
10839,wal mart #7188 z5411z,walmart,walmart,0.9999999997266471,1
10840,1493 zerega avenue z6011z,atm,atm,0.9999999976628402,1
10841,uber trip 2uk2a,uber,uber,0.9999999999985647,1
10842,paypal zhangminfa z5331z,paypal,paypal,0.9998526389829658,1
10843,dollar general # 8634 z531z,dollargeneral,dollargeneral,0.999999999956465,1
10844,uber eats mr3hr z4121z,uber,uber,1.0,1
10845,arbys #853 garde z5814z,arbys,arbys,0.4675971462974591,1
10846,9203 highway 6 s z6011z,atm,atm,0.9999998276301205,1
10847,kroger fuel #1667 z5542z,kroger,kroger,0.9999970534862963,1
10848,sq mister slushie z5814z,lush,mcdonalds,0.2970492547472318,0
10849,star stable nscjg9ik z5816z,starstable,starstable,0.9999288094031643,1
10850,popeyes2756_1 z5812z,popeyes,panerabread,0.2728760460299864,0
10851,paypal oirwe234 z5999z,paypal,paypal,0.9999816171537836,1
10852,paypal codycickx88 z5999z,paypal,paypal,0.9999816171537836,1
10853,taco bell # 23758 z5814z,tacobell,tacobell,0.9999999987956834,1
10854,paypal infomaniame z8999z,paypal,paypal,0.9999941015563429,1
10855,tj maxx #045 z5651z,tjmaxx,tjmaxx,0.9999997827105483,1
10856,safeway store 2870 z5411z,safeway,safeway,0.9999996078898605,1
10857,toys r us #8913 z5945z,toysrus,toysrus,0.9999999999289884,1
10858,711 112th street z6011z,atm,atm,0.9999999977399128,1
10859,kroger #8 850 s hamil z5411z,kroger,kroger,0.9999981732648764,1
10860,mcdonald s f24273 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10861,uber eats tleza z4121z,uber,uber,1.0,1
10862,dunkin #330207 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
10863,196 1st ave z6011z,atm,atm,0.9999999999930509,1
10864,caseys 210 w center cr z5541z,caseys,caseys,0.8614890011393818,1
10865,mcdonald s f40 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10866,gamestop 123 grandvie z7993z,gamestop,gamestop,0.9998968298566165,1
10867,starbucks store 06521 z5814z,starbucks,starbucks,0.9999999997664837,1
10868,burger king #19450 z5814z,burgerking,burgerking,0.9999999927295882,1
10869,smiths fo 402 sixth av z5411z,smiths,smiths,0.9999204030477894,1
10870,domino s 3974 z5814z,dominos,dominos,0.9998927511624501,1
10871,vans #0291 z5661z,vans,vans,0.950440885916292,1
10872,uber trip dw7fr z4121z,uber,uber,1.0,1
10873,family dollar #8163 z5331z,familydollar,familydollar,0.9999688089395841,1
10874,40 12 82nd street z6011z,atm,atm,0.9999999999830607,1
10875,paypal gamivo ltd z4816z,paypal,paypal,0.9999981916727102,1
10876,t j maxx 605 n main s,tjmaxx,tjmaxx,0.9999999999062652,1
10877,barnes & noble #2107 z5942z,barnesandnoble,barnesandnoble,0.9999987575161998,1
10878,dollar ge us 12 z531z,dollargeneral,dollargeneral,1.0,1
10879,kroger #4 1107 hwy 80 z5411z,kroger,kroger,0.9999374433307089,1
10880,uber trip 2mkod,uber,uber,0.9999999999985647,1
10881,starbucks f8 oak z5814z,starbucks,starbucks,0.9999037843465506,1
10882,qt 162 z5541z,quiktrip,quiktrip,0.9113633278789602,1
10883,claire s #5727 z5631z,claires,claires,0.9999991340720183,1
10884,mcdonald s f20522,mcdonalds,mcdonalds,0.9999999861908294,1
10885,dollar general # 221 s z531z,dollargeneral,dollargeneral,0.9999999999994031,1
10886,usconnect super vend n z5814z,vendingmachine,vendingmachine,0.9999955202467857,1
10887,amc westbank 16 #0485 z7832z,amc,amc,0.9999999221647643,1
10888,starbucks store 11972 z5814z,starbucks,starbucks,0.9999999997247997,1
10889,kfc d670020 z5814z,kfc,kfc,0.9707695926777541,1
10890,jcpenney 1924 z5311z,jcpenney,jcpenney,0.9734092992797229,1
10891,600 ridgewood avenue z6011z,atm,atm,0.9999999995414015,1
10892,sonic drive in #2014 z5814z,sonic,sonic,1.0,1
10893,3881 gerstner memorial z6011z,atm,atm,0.9999928699734637,1
10894,gamestop 44811 schoen z7993z,gamestop,gamestop,0.9999991601449497,1
10895,taco bell #32051 z5814z,tacobell,tacobell,0.9999999987956834,1
10896,burger king #21503 z5814z,burgerking,burgerking,0.9999999927295882,1
10897,sunoco 0803339100 z5542z,sunoco,sunoco,0.9924002185576334,1
10898,best buy 00008706 z5732z,bestbuy,bestbuy,0.9999989369965158,1
10899,dollar ge 5739 margate z531z,dollargeneral,dollargeneral,0.999999999949786,1
10900,aldi 67052 z5411z,aldi,aldi,0.6355117610398786,1
10901,mcdonald s m6440 of fl z5814z,mcdonalds,mcdonalds,1.0,1
10902,uber eats 4ggfq,uber,uber,0.9999999999977831,1
10903,murphy7592atwalmart z5542z,walmart,kroger,0.1333326313892547,0
10904,jimmy johns 2811 o z5814z,jimmyjohns,jimmyjohns,0.9999996561960693,1
10905,mcdonald s f16045 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10906,starbucks store 09865 z5814z,starbucks,starbucks,0.9999999997664837,1
10907,samsclub #8276 z5542z,samsclub,samsclub,0.30820261286925943,1
10908,mcdonald s m6291 of il z5814z,mcdonalds,mcdonalds,1.0,1
10909,dollar ge 1238 w marke z531z,dollargeneral,dollargeneral,0.9999999999944293,1
10910,uber trip 2s2ks,uber,uber,0.9999999999985647,1
10911,uber eats fls26 z4121z,uber,uber,0.9999999999999964,1
10912,walgreens store 4555 f z5912z,walgreens,walgreens,0.9999999999722462,1
10913,cumberland farms 920544epping nhus z5541z,cumberlandfarms,cumberlandfarms,0.9999757993632384,1
10914,cumberland farms 1295 z5541z,cumberlandfarms,cumberlandfarms,0.9998810262785066,1
10915,hot topic 0305 z5699z,hottopic,hottopic,0.9999993047564005,1
10916,gamestop 467 opry mil,gamestop,gamestop,0.986165427225766,1
10917,burger king #440 z5814z,burgerking,burgerking,0.9999999926794345,1
10918,bob evans #0315 z5812z,vans,panerabread,0.22350587803131847,0
10919,kroger #7 3135 fm 528 z5411z,kroger,kroger,0.9999986901382892,1
10920,paypal dalifaelect z7392z,paypal,paypal,0.9998420857550003,1
10921,mcdonald s f3129 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10922,dunkin #350374 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
10923,cvs pharm 08058 18130 z5912z,cvs,cvs,0.9999999997437428,1
10924,victoria s secret 0171 z5621z,victoriassecret,victoriassecret,0.9999999999999716,1
10925,ulta #576 z5399z,ultabeauty,ultabeauty,0.9977002812445503,1
10926,wendy s #2526 z5814z,wendys,wendys,0.9999587944755108,1
10927,paypal ebay sales z5931z,ebay,paypal,0.9995219548112794,0
10928,target t 2317 z5411z,target,target,0.9999999986393817,1
10929,900 e hillside dr z6011z,atm,atm,0.9999999997097149,1
10930,uber eats eraoi,uber,uber,0.9999999999977831,1
10931,apple store #r451 889 z5732z,apple,apple,0.9999745660144046,1
10932,macy s 46 056 kam h z5311z,macys,macys,0.9999999998896101,1
10933,walgreens store 635 s z5912z,walgreens,walgreens,0.9999999999465672,1
10934,circle k #1402 z5541z,circlek,circlek,0.9999999535120676,1
10935,kroger #4 3105 north b z5411z,kroger,kroger,0.9999999981210408,1
10936,paypal king vania z4829z,paypal,paypal,0.999954635699038,1
10937,staples 1279 z5943z,staples,staples,0.9806915422611637,1
10938,124 e jefferson st z6011z,atm,atm,0.9999999999691624,1
10939,usa ace vending z5814z,vendingmachine,vendingmachine,0.999999696142833,1
10940,15865 north highland d z6011z,atm,atm,0.9999999840393629,1
10941,7 eleven #71 z5541z,seveneleven,seveneleven,0.9999999847352258,1
10942,taco bell 31602 z5814z,tacobell,tacobell,0.9999999987956834,1
10943,uber trip zainl,uber,uber,0.9999999999985647,1
10944,starbucks store 09251 z5814z,starbucks,starbucks,0.9999999997664837,1
10945,marshalls parkside wes z5651z,marshalls,marshalls,0.9918010430180167,1
10946,mcdonald s f4372 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10947,jersey mikes 13053 z5814z,jerseymikes,jerseymikes,0.9984538666449047,1
10948,mcdonald s f34965 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10949,circle k # 04068 8002 z5541z,circlek,circlek,0.9999999541556274,1
10950,dairy queen #12430 saint simons gaus z5814z,dairyqueen,dairyqueen,0.9999999077121131,1
10951,slushees vapor z5993z,lush,paypal,0.11587742953486098,0
10952,denny s #6613 z5812z,dennys,dennys,0.9980071926764038,1
10953,jcpenney 2364 z5311z,jcpenney,jcpenney,0.9738863737698672,1
10954,barnes an 4802 valley z5814z,barnesandnoble,barnesandnoble,0.9996257083148815,1
10955,kohls 109 9300 baldrid z5311z,kohls,kohls,0.9925890921674625,1
10956,paypal marcusdavis z5816z,paypal,paypal,0.9998825982661833,1
10957,cvs pharm 01183 777 m z5912z,cvs,cvs,0.9999999999998295,1
10958,uber trip eah47,uber,uber,0.9999999999925802,1
10959,mcdonald s f6203 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
10960,kroger 5570 denton txus z5411z,kroger,kroger,0.9962872853132414,1
10961,sq the cellular conne z5732z,arco,heb,0.949746403373451,0
10962,dunkin #354486 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
10963,panera bread #600882 z5812z,panerabread,panerabread,0.9999999967501836,1
10964,barnes an blue black s z5942z,barnesandnoble,barnesandnoble,0.9999999918173614,1
10965,ulta #1203 z5399z,ultabeauty,ultabeauty,0.9977509577596264,1
10966,durham county abc stor z5921z,amc,atm,0.383064753044405,0
10967,paypal advancesale z8999z,paypal,paypal,0.9999941015563429,1
10968,uber trip kowu4,uber,uber,0.9999999999925802,1
10969,2248 50 w hunting park z6011z,atm,atm,0.9999999684366263,1
10970,speedway 02901 mo z5541z,speedway,speedway,0.979577445026638,1
10971,circle k 2720941 z5542z,circlek,circlek,0.9999999714967136,1
10972,grubhub pizzavsburrito z5812z,grubhub,grubhub,0.8756116559421109,1
10973,wendy s 8420 z5814z,wendys,wendys,0.9999587942166993,1
10974,sonic drive in #5335 z5814z,sonic,sonic,1.0,1
10975,amtrak pos f&b washington dcus z4112z,amtrak,atm,0.6618063830063468,0
10976,9101 fayetteville rd z6011z,atm,atm,0.9999999998940012,1
10977,nordstrom 8332 mn high z5311z,nordstrom,nordstrom,0.7766257507081559,1
10978,famous footwear #3378 z5661z,famousfootwear,famousfootwear,0.99876931857674,1
10979,sonic drive in #1831 z5814z,sonic,sonic,1.0,1
10980,2187 shattuck ave z6011z,atm,atm,0.9999999997056079,1
10981,uber trip 5iwev z4121z,uber,uber,1.0,1
10982,uber trip g4brz z4121z,uber,uber,1.0,1
10983,ihop #1823 z5812z,ihop,ihop,0.963595279999891,1
10984,dow chemical ecu z6011z,atm,atm,0.9995171860925138,1
10985,18 s obt,atm,atm,0.9218453281174065,1
10986,dairy queen #42916 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
10987,google supercell z5734z,google,google,0.4641952248483333,1
10988,rite aid store 4546 z5912z,riteaidpharmacy,riteaidpharmacy,0.999999999999929,1
10989,gamestop #4288 z7993z,gamestop,gamestop,0.9999692164959056,1
10990,barnesnoble 2051 n fe z5814z,barnesandnoble,barnesandnoble,0.5502382008420261,1
10991,24905 hwy 2815 z6011z,atm,atm,0.9999746316843895,1
10992,quiktrip #610r z6011z,atm,atm,0.9999691547925174,1
10993,usa inspire vending z5814z,vendingmachine,vendingmachine,0.9999979950513369,1
10994,uber trip bztvq,uber,uber,0.9999999999985647,1
10995,paypal lenaplugllc z5999z,paypal,paypal,0.9999816171537836,1
10996,1825 market st z6011z,atm,atm,0.9999999999991331,1
10997,michaels stores inc777 z597z,michaels,michaels,0.9999999820110262,1
10998,cvs pharm 09513 1570 z5912z,cvs,cvs,0.9999999992843343,1
10999,ross stores #1627 z531z,rossstores,rossstores,0.9999990303149756,1
11000,safeway store 0920 z5411z,safeway,safeway,0.9999999948048242,1
11001,vans #0213 z5661z,vans,vans,0.9501314968390818,1
11002,22620 se 216th place s z6011z,atm,atm,0.9999999999193108,1
11003,paypal homeco llc z5719z,paypal,paypal,0.9999959572001815,1
11004,uber trip 7ogy2,uber,uber,0.9999999999985647,1
11005,mcdonald s f10575 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11006,wal mart #0745 z5411z,walmart,walmart,0.9999999997582378,1
11007,dollar tr 5370 allento z5331z,dollartree,dollartree,0.9999999639589567,1
11008,5guys 1183 fulto z5814z,fiveguys,mcdonalds,0.4037377773600271,0
11009,wendys #2521 z5814z,wendys,wendys,0.966245067228189,1
11010,7 eleven 33130 z5542z,seveneleven,seveneleven,0.9999993411022498,1
11011,arco #42857 ampm z5541z,arco,arco,0.9999895742954963,1
11012,paypal podkladki20 z8999z,paypal,paypal,0.9999941015563429,1
11013,uber trip rwjlm z4121z,uber,uber,1.0,1
11014,meijer # 140 1555 demi z5411z,meijer,meijer,0.3448812539377643,1
11015,foot locker 07940 gainesville flus z5661z,footlocker,footlocker,0.9999998811448947,1
11016,mcdonald s f1831 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11017,sonic drive in #4309 z5814z,sonic,sonic,1.0,1
11018,tom thumb fuel 3563,tomthumb,tomthumb,0.9999999302504559,1
11019,francesca s b570 z5631z,francescas,francescas,0.9988552132679707,1
11020,target t 6100 broadmo z5411z,target,target,0.9999999999896261,1
11021,dunkin #341135 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
11022,sq applegate ice crea z5999z,apple,paypal,0.7383960887300492,0
11023,kfc j470005 z5814z,kfc,kfc,0.6349239415470637,1
11024,mcdonald s f4424 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11025,usa belinda vending se z5814z,vendingmachine,vendingmachine,0.99999946097326,1
11026,sq cara m corson z5814z,amc,vendingmachine,0.4153357664881936,0
11027,albertsons store 0118,albertsons,albertsons,0.9998707652410381,1
11028,uber trip w5tci z4121z,uber,uber,1.0,1
11029,uber eats enxf7,uber,uber,0.9999999999977831,1
11030,burger king #12979 z5814z,burgerking,burgerking,0.9999999927295882,1
11031,paypal blodgharmdr z8999z,paypal,paypal,0.9999941015563429,1
11032,old sauk mart z5542z,kmart,walmart,0.8375059852161266,0
11033,domino s 5962 z5814z,dominos,dominos,0.9998833927570326,1
11034,uber eats tw4xu,uber,uber,0.999999999988642,1
11035,hobby lobby #482 z5945z,hobbylobby,hobbylobby,0.9989056663440518,1
11036,walgreens #9869 z5912z,walgreens,walgreens,0.9997789982427335,1
11037,mcdonald s f11242 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11038,uber trip zytas,uber,uber,0.9999999999985647,1
11039,dollar tr 805 s cotton z5331z,dollartree,dollartree,0.9999999933937715,1
11040,smoothie king 0839 z5814z,smoothieking,smoothieking,0.9946955651870507,1
11041,uber eats nfur5 z4121z,uber,uber,1.0,1
11042,target t 815 w 2000 n z5411z,target,target,0.9999996212427085,1
11043,uber trip 2gje3,uber,uber,0.9999999999985647,1
11044,myrtle bch socastee bl z6011z,atm,atm,0.9999999728580423,1
11045,chick fil a #00819 z5814z,chickfila,chickfila,1.0,1
11046,starbucks store 13994 z5814z,starbucks,starbucks,0.9999999997664837,1
11047,sonic drive in #6600 z5814z,sonic,sonic,1.0,1
11048,gamestop 1233 w avenu,gamestop,gamestop,0.9979179550230228,1
11049,bp#6399588ck st z5542z,bp,bp,0.8990882761982764,1
11050,uber trip g6yqv z4121z,uber,uber,1.0,1
11051,popeyes norwalk z5812z,popeyes,popeyes,0.7357607885141227,1
11052,safeway store 0914,safeway,safeway,0.999997431400205,1
11053,cvs pharm 03730 3700 z5912z,cvs,cvs,0.9999999997068443,1
11054,gamestop #5216 z7993z,gamestop,gamestop,0.9999683041554362,1
11055,3655 nw 87 ave z6011z,atm,atm,1.0,1
11056,wal mart #3512 z5411z,walmart,walmart,0.9999999997577476,1
11057,domino s 3468 z5814z,dominos,dominos,0.9998833792196602,1
11058,mcdonald s f1733 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11059,gamestop 1081 n colli z7993z,gamestop,gamestop,0.9999269839885288,1
11060,rite aid store 3760 z5912z,riteaidpharmacy,riteaidpharmacy,0.999999999999929,1
11061,gamestop 3001 veteran,gamestop,gamestop,0.9995358872279623,1
11062,best buy 00011262,bestbuy,bestbuy,0.9999997076065626,1
11063,dollar ge 1250 us 130 z531z,dollargeneral,dollargeneral,0.999999999980659,1
11064,uber j5mgm,uber,uber,0.9998565168706554,1
11065,gamestop 3159 silverb z7993z,gamestop,gamestop,0.9999990139592144,1
11066,claire s #6866 z5631z,claires,claires,0.9999991261949698,1
11067,kfc j235039 z5814z,kfc,kfc,0.6349239415470637,1
11068,zumiez #529 z5651z,zumiez,zumiez,0.9600758353881961,1
11069,uber eats p32oq z4121z,uber,uber,1.0,1
11070,staples 0207 z5943z,staples,staples,0.9811885335947067,1
11071,petsmart # 1685 wentzville mous z5995z,petsmart,petsmart,0.9956152096675177,1
11072,usconnect fdexp vend n z5814z,vendingmachine,vendingmachine,0.9999997831340814,1
11073,ihop #4467 z5812z,ihop,ihop,0.9648580565466945,1
11074,mcdonald s f5319 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11075,uber mxrbb z4121z,uber,uber,0.9999999681644601,1
11076,tj maxx # rockwall cro z5651z,tjmaxx,tjmaxx,0.9999997805685111,1
11077,arco #42842 ampm z5541z,arco,arco,0.9999895742954963,1
11078,carvel ice cream jupi z5814z,carvelicecream,amc,0.5455021590748417,0
11079,uber trip zhsnl z4121z,uber,uber,1.0,1
11080,panera bread #4078 z5814z,panerabread,panerabread,0.9999992695892498,1
11081,murtland bp z5541z,bp,bp,0.9998997195082379,1
11082,vons store 2288,vons,vons,0.9992347813671023,1
11083,uber trip chkgs,uber,uber,0.9999999999985647,1
11084,circle k # 04879 1108 z5542z,circlek,circlek,0.9999999956675651,1
11085,denny s #6918 z5812z,dennys,dennys,0.9976392234034669,1
11086,paypal suppliesand z4816z,paypal,paypal,0.9999588147612103,1
11087,tillys #148 z5399z,tillys,tillys,0.726608353460371,1
11088,paypal billywiskel z8999z,paypal,paypal,0.9999941015563429,1
11089,paypal lickingknox z8398z,paypal,paypal,0.9998196483282524,1
11090,uber eats fffdo,uber,uber,0.9999999999977831,1
11091,paypal revolve z5094z,evo,paypal,0.9997645716142445,0
11092,starbucks main z5814z,starbucks,starbucks,0.9998157340867929,1
11093,uber eats 4tysh z4121z,uber,uber,1.0,1
11094,paypal redballkzll z7399z,paypal,paypal,0.9995918696666939,1
11095,uber trip x7mkm,uber,uber,0.9999999999925802,1
11096,papa john s #092 z5814z,papajohns,papajohns,0.9999999996435207,1
11097,safeway store 2792,safeway,safeway,0.9999973245730067,1
11098,dollar general # st hi z531z,dollargeneral,dollargeneral,0.9999999999999858,1
11099,sq think coffee grame z5499z,thinkcoffee,thinkcoffee,0.9851818286440042,1
11100,jack in the box 0464 z5814z,jackinthebox,jackinthebox,1.0,1
11101,gb panhellenic stet z7399z,bp,paypal,0.47480110237146383,0
11102,dollar general # 639 h z531z,dollargeneral,dollargeneral,0.9999999999989129,1
11103,domino s 3876 z5814z,dominos,dominos,0.9998927574839398,1
11104,dairy queen #14031 z5814z,dairyqueen,dairyqueen,0.999999943020116,1
11105,uber trip sired z4121z,uber,uber,1.0,1
11106,target t 1782 z5411z,target,target,0.9999999986527754,1
11107,domino s 4977 z5814z,dominos,dominos,0.9998833855382985,1
11108,601 williams blvd z6011z,atm,atm,0.9999999999628955,1
11109,uber trip rra6t z4121z,uber,uber,1.0,1
11110,zaxbys 1139 z5814z,zaxbys,mcdonalds,0.3597344342191546,0
11111,mcdonald s f3635 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11112,mcdonald s f1218 z5814z,mcdonalds,mcdonalds,0.9999999999882476,1
11113,chipotle 1889 z5814z,chipotle,chipotle,0.9277167194949228,1
11114,taco bell 04091 z5814z,tacobell,tacobell,0.9999999988640127,1
11115,sonic drive in #4595 z5814z,sonic,sonic,1.0,1
11116,safeway store 4160,safeway,safeway,0.9999972204020771,1
11117,etsy com gadget4enter718 8557955 nyus,etsy,etsy,0.9999999988627266,1
11118,rite aid store 4261 z5912z,riteaidpharmacy,riteaidpharmacy,0.999999999999929,1
11119,starbucks store 08571 z5814z,starbucks,starbucks,0.9999999997664837,1
11120,paypal thompson eric z4829z,paypal,paypal,0.9999995203542524,1
11121,big lots 65 7th ave,biglots,biglots,0.9997711601811045,1
11122,five guys md 006 z5814z,fiveguys,fiveguys,0.9999997234568907,1
11123,cvs pharm 02097 9 old z5912z,cvs,cvs,0.9999999998441425,1
11124,sq cafe zaiya @kinoku z5411z,cafezaiya,heb,0.8320048480910591,0
11125,paypal stewart sidney z4829z,paypal,paypal,0.9999917002416542,1
11126,racetrac131 z5541z,racetrac,chevron,0.16721284696322877,0
11127,dollar general # 119 e z531z,dollargeneral,dollargeneral,0.9999999999999858,1
11128,best buy 00013888,bestbuy,bestbuy,0.9999997076065626,1
11129,dairy queen #12862 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
11130,kroger 12605 ih 45,kroger,kroger,0.9918819309370728,1
11131,mcdonald s f7526 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11132,t j maxx 308 seimers,tjmaxx,tjmaxx,0.9999999999999432,1
11133,uber eats r7bcx z4121z,uber,uber,1.0,1
11134,coldstone #20109 z5814z,coldstone,mcdonalds,0.4436357927336999,0
11135,popeyes cape #10596 z5814z,popeyes,popeyes,0.3563657713317823,1
11136,trader joe s #163 qps z5411z,traderjoe,traderjoe,0.9999999999748752,1
11137,wendys 42 z5814z,wendys,wendys,0.9991974364404209,1
11138,wal mart #1201 z5411z,walmart,walmart,0.9999999956762551,1
11139,mcdonald s f23438 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11140,paypal myheritagel 32 z8999z,paypal,paypal,0.99998731598957,1
11141,panda express 2034 z5814z,pandaexpress,pandaexpress,0.9999640478802522,1
11142,dollar tr 12184 highwa z5331z,dollartree,dollartree,0.9999999999919851,1
11143,walgreens store 20 w n z5912z,walgreens,walgreens,1.0,1
11144,lowe s foods #1245 fue z5542z,Lowes,chevron,0.690442361621134,0
11145,taco bell 30848 z5814z,tacobell,tacobell,0.9999999987956834,1
11146,petsmart # 2426 z5995z,petsmart,petsmart,0.9875300202503521,1
11147,wendy s 244 z5814z,wendys,wendys,0.9999587870264737,1
11148,cmsvend american z5814z,vendingmachine,vendingmachine,0.912643138004606,1
11149,uber trip ubsnz z4121z,uber,uber,1.0,1
11150,usa spb vending z5814z,vendingmachine,vendingmachine,0.9999979950513369,1
11151,uber trip ucaeu,uber,uber,0.9999999999985647,1
11152,burger king #19956 z5814z,burgerking,burgerking,0.9999999927295882,1
11153,alm sch fsta iesta z6011z,atm,atm,0.9993838904196047,1
11154,gamestop 4100 s lake z7993z,gamestop,gamestop,0.9998190232384773,1
11155,chick fil a #01018 z5814z,chickfila,chickfila,1.0,1
11156,gamestop #5705 z7993z,gamestop,gamestop,0.999959593831681,1
11157,burger king #7431 z5814z,burgerking,burgerking,0.9999999927295882,1
11158,paypal ge xiuying z5732z,paypal,paypal,0.9996883629811529,1
11159,mcdonald s f17216 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11160,walgreens store 200 la z5912z,walgreens,walgreens,0.9999999999988916,1
11161,wegmans 1750 east aven z5411z,wegmans,atm,0.8533732164182136,0
11162,domino s 2469 z5814z,dominos,dominos,0.9998927541284561,1
11163,dollar tr 2003 souther z5331z,dollartree,dollartree,0.9999999644537361,1
11164,tk 263 dunkin donuts z5814z,dunkindonuts,dunkindonuts,0.99999990659244,1
11165,bath & body works 3247 z5621z,bathandbodyworks,bathandbodyworks,0.9999999999862723,1
11166,738 s robb st z6011z,atm,atm,0.9999999973653857,1
11167,wal mart #0019 z5411z,walmart,walmart,0.9999999997582378,1
11168,uber eats 6seua z4121z,uber,uber,1.0,1
11169,raising cane s #260 z5814z,raisingcanes,raisingcanes,0.9999999642027582,1
11170,michaels stores 3849 7 z597z,michaels,michaels,0.9999999999479741,1
11171,star stable 87nyvd65 z5816z,starstable,starstable,0.9999288094031643,1
11172,waffle house 0553 z5812z,wafflehouse,wafflehouse,0.9999993479595085,1
11173,uber trip y5k2g z4121z,uber,uber,1.0,1
11174,domino s 5627 z5814z,dominos,dominos,0.9998927589298671,1
11175,culvers of mesa #3 z5814z,culvers,culvers,0.8760999347042022,1
11176,chipotle 2034 z5814z,chipotle,chipotle,0.9284175646261988,1
11177,cvs pharm 06214 5355 z5912z,cvs,cvs,0.9999999997441051,1
11178,the boys store z5542z,heb,heb,0.4149541852034573,1
11179,racetrac528 z5541z,racetrac,chevron,0.16721284696322877,0
11180,gamestop 444 atlanta z7993z,gamestop,gamestop,0.999994673297569,1
11181,506 sw mill st z6011z,atm,atm,0.9999999999602238,1
11182,kfc g135136 z5814z,kfc,kfc,0.6349239415470637,1
11183,2130 north claiborne a z6011z,atm,atm,0.9999998848422176,1
11184,bath & body works 3877 z5999z,bathandbodyworks,bathandbodyworks,0.9999999999935199,1
11185,uber trip oytmd,uber,uber,0.9999999999985647,1
11186,uber trip gz7en z4121z,uber,uber,1.0,1
11187,mcdonald s f10571 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
11188,jcpenney 0579 z5311z,jcpenney,jcpenney,0.9740785503624323,1
11189,2311 e main st z6011z,atm,atm,0.9999999999999858,1
11190,uber trip exrm5,uber,uber,0.9999999999985647,1
11191,uber eats z5pyc z4121z,uber,uber,0.9999999999999964,1
11192,taco bell #4631 z5814z,tacobell,tacobell,0.999999998778236,1
11193,rabobank na z6011z,atm,atm,0.9999353891552814,1
11194,sams club #6342 z5542z,samsclub,samsclub,0.7980157471939997,1
11195,kfc g135177 z5814z,kfc,kfc,0.6349239415470637,1
11196,cvs pharm 03163 345 m z5912z,cvs,cvs,0.9999999984731005,1
11197,zumiez #205 z5651z,zumiez,zumiez,0.9577374067519596,1
11198,uber trip fjytt,uber,uber,0.9999999999985647,1
11199,wal mart #5334 z5411z,walmart,walmart,0.9999999999403073,1
11200,starbucks store 08106 z5814z,starbucks,starbucks,0.9999999997660964,1
11201,uber trip honvs,uber,uber,0.9999999999925802,1
11202,rue21 5101 hinklev,rue21,rue21,0.9929497163700133,1
11203,paypal jiangfeng z5199z,paypal,paypal,0.9996761049269298,1
11204,crossville z6011z,atm,atm,0.9986741364103311,1
11205,starbucks store 11236 z5814z,starbucks,starbucks,0.9999999997471534,1
11206,jimmy johns 167 ec z5814z,jimmyjohns,jimmyjohns,0.999999999073367,1
11207,marshalls # 109,marshalls,marshalls,0.8766084192298206,1
11208,uber trip yjhjn z4121z,uber,uber,1.0,1
11209,wendys 1543 z5814z,wendys,wendys,0.9669857682733483,1
11210,mcdonalds f12180 z5814z,mcdonalds,mcdonalds,0.9829369025975246,1
11211,sonic drive in #5382 z5814z,sonic,sonic,1.0,1
11212,jc penney 0559 z5311z,jcpenney,paypal,0.48586226828582807,0
11213,stripes 0798054 z5541z,stripe,chevron,0.15991481692901224,0
11214,walgreens store 26036 z5912z,walgreens,walgreens,0.999999994773102,1
11215,rite aid store 5690 z5912z,riteaidpharmacy,riteaidpharmacy,0.9999999999997016,1
11216,rue21 48 east town z5621z,rue21,rue21,0.9881131982777268,1
11217,dollar tr 3150 macon r z5331z,dollartree,dollartree,0.9999999987832524,1
11218,uber trip jsnci,uber,uber,0.9999999999925802,1
11219,7 eleven #54252 z5499z,seveneleven,seveneleven,0.9999993956889931,1
11220,7 eleven 28838 z5541z,seveneleven,seveneleven,0.9999990013156661,1
11221,paypal starz enter z4899z,paypal,paypal,0.9992284269965216,1
